Denis Medeiros,denis@email.com,true
Yuri Medeiros,yuri@email.com,true
Lucia Pedroso,lucia@email.com.br,true
Fernando Moris,fernando@email.com.br,true
John,averageEduardo59@terra.com.br,true
Belinda,Evelynpowerful@yandex.ru,true
Joelly,difficultAbigail@verizon.net,true
Gui,Louisembarrassed@yahoo.co.jp,true
Melina,dangerousIan@gmx.de,true
Rozele,Randybright@ig.com.br,true
Tybie,gleamingSusan@t-online.de,false
Danny,Colinpowerful@sky.com,false
Joelly,Sierraenergetic@ymail.com,false
Molli,distinctDale36@planet.nl,false
Jessamyn,Josephdull@yahoo.es,false
Bill,Michealkind@optonline.net,false
Madalyn,cautiousEmmanuel33@rambler.ru,false
Dorthy,grievingLindsey29@windstream.net,false
Dennie,wittyTara@mail.ru,false
Willetta,successfulPriscilla@neuf.fr,true
Lila,jealousLydia@comcast.net,true
Betta,embarrassedChristie@sbcglobal.net,true
Nelle,enviousTodd1@qq.com,true
Ardenia,Joycruel@planet.nl,true
Olivette,Claudiacharming@windstream.net,true
Oralee,Michealnasty@skynet.be,true
Lanna,nastyMegan@live.it,true
Layla,encouragingHannah@hotmail.de,true
Madelle,shinySergio@ntlworld.com,true
Ofilia,sillyRussell60@yahoo.in,true
Zondra,nervousCassie46@mac.com,true
Kathi,Brendanlazy@bellsouth.net,true
Albertina,Paulthankful@yahoo.ca,true
Sue,angryMartin49@neuf.fr,true
Netty,Dustinplain@outlook.com,true
Roseline,cloudyKathleen@wanadoo.fr,true
Lonnie,puzzledAlejandro@sfr.fr,true
Amelia,expensivePhillip55@cox.net,true
Gui,unsightlyBrenda59@juno.com,true
Katleen,thoughtlessPreston@yahoo.in,true
Tani,crazyKathryn31@bellsouth.net,true
Nananne,expensiveBrandon@live.fr,true
Chandra,Valerieawful@live.com.au,true
Amalie,distinctGary19@libero.it,true
Janeczka,Devintired@att.net,true
Edith,cheerfulMolly9@sfr.fr,true
Kellen,curiousJohn@hetnet.nl,true
Britte,frailLatoya13@hotmail.fr,true
Bobbi,obedientKristina@bigpond.com,false
Brooks,Georgeworrisome@libero.it,false
Aurelie,Jameshealthy@free.fr,false
Almeta,outstandingBilly75@cox.net,false
Karlee,difficultJennifer@aliceadsl.fr,false
Audrie,Barrylucky@rambler.ru,true
Lory,ugliestJillian@rambler.ru,true
Carmela,Waynestormy@club-internet.fr,true
Raquela,kindDominic38@zonnet.nl,true
Dorthy,depressedLinda4@sfr.fr,true
Ebonee,Alanupset@cox.net,true
Frank,niceRachael75@me.com,true
Edith,fragileEbony@zonnet.nl,true
Carly,smilingColleen@uol.com.br,true
Jinny,busyCasey34@tin.it,true
Betta,Rickyunsightly@aliceadsl.fr,true
Gianina,upsetJordan@sympatico.ca,true
Constance,Latashafaithful@att.net,true
Kara-Lynn,combativeJoanna@bigpond.net.au,true
Gaylene,cheerfulNicholas93@alice.it,true
Shirlee,pleasantMitchell@web.de,true
Therine,Patriciazealous@freenet.de,true
Mureil,determinedBridget29@bigpond.net.au,true
Lizzie,Aimeecomfortable@live.co.uk,true
Fredericka,busyTommy@arcor.de,true
Robinia,defiantChase@centurytel.net,true
Dolli,darkTheodore@terra.com.br,true
Brooks,livelyCurtis@hetnet.nl,true
Angela,Jaimefine@live.com.au,true
Gaylene,proudCaleb7@arcor.de,true
Rosene,comfortableRobin42@mac.com,true
Corly,determinedTamara71@bluewin.ch,true
Yolane,Cynthiaclumsy@charter.net,false
Nanete,poorMolly@bluewin.ch,false
Priscilla,kindJordan54@hotmail.fr,false
Sean,eagerErika@windstream.net,false
Celene,Oscarfragile@hotmail.it,false
Jillayne,gracefulMandy7@yandex.ru,true
Sabina,openCarmen@live.ca,true
Amara,soreJodi@voila.fr,true
Carly,Danielleugliest@att.net,true
Orelia,vastAshley@yandex.ru,true
Deane,blueRebekah88@hotmail.co.uk,true
Blondelle,Kathleenbored@sky.com,true
Rhea,wearySara10@windstream.net,true
Marline,jealousSheila@mail.ru,true
Di,franticAdrienne@terra.com.br,true
Ginnie,Monicaalert@gmail.com,true
Lynde,uptightBrittany@yahoo.ca,true
Hallie,Trevorobedient@yahoo.ca,true
Sadie,annoyedRenee28@orange.fr,true
Marika,obnoxiousKelli86@voila.fr,true
Sheree,busyTracy47@terra.com.br,true
Monika,blushingLevi95@arcor.de,true
Sharlene,defiantRichard@mac.com,true
Lanna,Alexisexcited@skynet.be,true
Phedra,uptightMichelle40@terra.com.br,true
Lelah,Colewrong@me.com,true
Adriana,victoriousDouglas@mail.ru,false
Margette,hilariousLeslie13@t-online.de,false
Gretal,ashamedLance@gmail.com,false
Ana,giftedTheodore@hotmail.de,false
June,Rebekahpoised@yahoo.de,true
Tybie,lazyClayton@tiscali.it,true
Bill,Bobbypowerful@gmx.de,true
Melanie,shinyLee18@aim.com,true
Imojean,clumsyMelody@yahoo.es,true
Josephine,gloriousIvan@optusnet.com.au,true
Leanna,nastyBarbara@zonnet.nl,true
Jsandye,worrisomeNancy96@msn.com,true
Sue,stormyRicardo16@yahoo.it,true
Myriam,homelessJimmy7@bellsouth.net,true
Rubie,thankfulNaomi@terra.com.br,true
Antonietta,fragileCara@yahoo.co.uk,true
Rivalee,wide-eyedJaclyn@libero.it,true
Kirbee,troubledHillary@home.nl,true
Nelle,itchyAshlee@optusnet.com.au,true
Dari,cleanSavannah@tiscali.co.uk,true
Jany,drabMarcus@bigpond.com,true
Frieda,Philipeasy@libero.it,true
Marleah,Aprilbloody@gmail.com,true
Lorenza,alertAndrea32@hotmail.co.uk,true
Alleen,elatedPatricia39@gmx.de,true
Harmonia,Rosamodern@mail.ru,true
Candi,Andresimportant@charter.net,true
Nicoli,blushingGina@hotmail.it,true
Carlie,ashamedTaryn8@mac.com,true
Rhoda,Kristyfrantic@shaw.ca,true
Queenie,disturbedRenee@me.com,true
Doralynne,Robertcautious@yahoo.co.uk,true
Alisha,luckyLisa16@yahoo.ca,true
Anica,Mandyupset@yahoo.ca,true
Albertina,zealousGrace@live.com.au,true
Sandie,Jameszealous@t-online.de,true
Cherrita,wittyJack@gmail.com,true
Jobi,Dustinmuddy@hotmail.de,true
Nita,cautiousNicolas@centurytel.net,true
Eugine,blackCindy67@live.com.au,true
Bertine,tiredNicole58@telenet.be,true
Cordi,lonelyMisty23@live.nl,true
Fayre,Kristinedangerous@frontiernet.net,true
Ursulina,anxiousJeremy80@bluewin.ch,true
Winifred,modernHector@live.ca,true
Rochette,gracefulAlison32@yahoo.it,true
Robinia,charmingBrett58@yahoo.it,true
Edyth,Rogervivacious@planet.nl,true
Benita,Sheilaembarrassed@hotmail.it,true
Dotty,arrogantRonnie@free.fr,true
Minne,pricklySierra7@hotmail.de,true
Tracey,clearSharon@ntlworld.com,true
Caressa,unsightlyDominique25@bluewin.ch,true
Mara,wrongLarry92@zonnet.nl,true
Cristine,cautiousDominic36@aol.com,true
Constance,jitteryLacey82@terra.com.br,true
Deloria,elegantCrystal@live.com,true
Corina,Laceydefeated@hotmail.com,true
Micheline,Colinannoyed@web.de,true
Hyacinthe,expensiveChristian89@yahoo.ca,true
Benita,inexpensiveStacy@ntlworld.com,true
Sonni,Dianaglamorous@yahoo.de,true
Merci,innocentBrad@bellsouth.net,true
Wileen,sillyVictor57@googlemail.com,true
Carilyn,Katiedead@blueyonder.co.uk,true
Zondra,gloriousColin43@planet.nl,true
Aili,Ericagorgeous@msn.com,true
Gaylene,energeticDustin@yahoo.in,true
Amii,happyAimee98@gmx.de,true
Concettina,longAmber39@googlemail.com,true
Sophia,averageMelinda@live.ca,true
Carolina,easyDenise@uol.com.br,true
Sallie,hurtBrandy@zonnet.nl,true
Tiffie,Brucehelpful@tiscali.co.uk,true
Marjie,Waynefantastic@earthlink.net,true
Lynea,crazyMarcus91@live.co.uk,true
Mellicent,Ernestdoubtful@verizon.net,true
Nessie,badAshleigh@tiscali.it,true
Sean,badRodney@rocketmail.com,true
Ileana,frightenedBrian18@orange.fr,true
Annecorinne,ugliestRyan@yahoo.co.id,true
Kristina,Luisclean@yahoo.com.br,true
Kirbee,adorableRodney77@msn.com,true
Tierney,fineMarisa96@hotmail.fr,true
Renae,tameLarry16@shaw.ca,true
Starla,splendidDanielle6@rediffmail.com,true
Florencia,motionlessMichelle@blueyonder.co.uk,true
Neila,adorableFrank87@hotmail.fr,true
Beatriz,Eduardohelpful@blueyonder.co.uk,true
Carol-Jean,proudClayton71@cox.net,true
Karly,annoyedCarolyn90@home.nl,true
Raf,uptightBrandi47@blueyonder.co.uk,true
Christian,enviousClayton@verizon.net,true
Celestyna,smoggyKathryn20@hotmail.es,true
Sheelagh,courageousKendra@yahoo.com.br,true
Nataline,homelyJustin72@free.fr,true
Ebonee,braveMonica74@cox.net,true
Rosanne,Rauldisturbed@orange.fr,true
Danny,Franciscoexcited@hotmail.es,true
Andree,Juliaangry@yahoo.de,true
Di,perfectJamie4@yahoo.co.in,true
Isa,excitedHenry@neuf.fr,true
Codie,frailTony@live.ca,true
Zia,sparklingRonnie@uol.com.br,true
Sonni,encouragingNaomi32@optonline.net,true
Libbie,Bruceattractive@bigpond.net.au,true
Gusty,comfortableJimmy@hotmail.com,true
Alexine,vastDonald54@qq.com,true
Gui,hilariousDavid@yahoo.com.au,true
Elmira,excitedMark@att.net,true
Maisey,Rosaenvious@bol.com.br,true
Millie,Ivanunusual@msn.com,true
Vonny,selfishCandace46@live.fr,true
Wilma,naughtyRuth99@orange.fr,true
Ida,Kristopherdifficult@voila.fr,true
Susette,Bradleyexpensive@cox.net,true
Winny,Nathanielpowerful@laposte.net,true
Rebeca,stormyPaul74@uol.com.br,true
Alyda,energeticJeremiah@ig.com.br,true
Alexine,uninterestedJeremy24@ig.com.br,true
Sophia,enchantingMichelle@mac.com,true
Selma,spotlessRodney63@bol.com.br,true
Pearline,muddyDanielle@rediffmail.com,false
Angela,Kristinastrange@t-online.de,false
Fayre,wrongDeborah@verizon.net,false
Barbi,darkAlexander@yahoo.com,false
Amii,distinctAshleigh0@wanadoo.fr,false
Monika,gentleKaitlin@mail.ru,false
Maurene,dangerousRoy@live.nl,false
Hollie,sparklingRebekah@mac.com,true
Anestassia,clearMarvin@outlook.com,true
Mireielle,encouragingLuis35@hotmail.fr,true
Cyndie,upsetPriscilla@yahoo.com.ar,true
Rosabelle,Erikablushing@live.nl,true
Phylis,muddyAlison@cox.net,true
Ekaterina,zealousBrent82@ig.com.br,true
Karlee,crowdedRosa@ig.com.br,true
Tera,Kellieclean@voila.fr,true
Maurene,Neildistinct@live.com.au,true
Jasmina,Cynthiasparkling@frontiernet.net,true
Evaleen,curiousBrittany@live.it,true
Xylina,Johnenvious@bol.com.br,true
Lelah,Juliabusy@arcor.de,true
Rochette,mushyAmelia94@club-internet.fr,true
Joelly,annoyingJeremy12@outlook.com,true
Louella,Kristagifted@bigpond.com,true
Steffane,Karapoised@rambler.ru,true
Yetty,Allenthoughtless@hotmail.es,true
Lesly,fantasticJaclyn91@live.com,true
Dari,Sethvivacious@bigpond.net.au,true
Anthia,gorgeousAna@sympatico.ca,true
Margalo,Allenpoised@planet.nl,true
Zondra,Kristinaselfish@aliceadsl.fr,true
Dagmar,zanyKate59@t-online.de,true
Regina,Dominiquestupid@uol.com.br,true
Carlie,blueHannah66@yahoo.co.in,true
Livvyy,oddEric@live.nl,true
Jackie,blackFrank58@gmx.net,true
Frank,funnyDanielle41@hotmail.de,true
Bobinette,Adriennelight@yahoo.com.sg,true
